Agentid,TimePassed,LaraPosition.x,LaraPosition.y,LaraPosition.z,MarkoPosition.x,MarkoPosition.y,MarkoPosition.z,HalloPosition.x,HalloPosition.y,HalloPosition.z,Food1Position.x,Food1Position.y,Food1Position.z,Food2Position.x,Food2Position.y,Food2Position.z,Food3Position.x,Food3Position.y,Food3Position.z,Food,Health,AttackParticlePosition.x,AttackParticlePosition.y,AttackParticlePosition.z,ParticleContainPosition.x,ParticleContainPosition.y,ParticleContainPosition.z,Speed,Action,Action0,Action1,Action2,Action3,Action4,Action5,Action6
2,1.066666,-1.199997,0,-4.032001,-1.199997,0,-4.032001,1.5,-0.04000002,1.87,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,4.25,4.625,-8.954,0.89,-7,-10,0.47,-4.96,5,4,0,0,0,0,1,0,0
2,1.183333,-1.099997,0,-4.032001,-1.099997,0,-4.032001,1.5,-0.04000002,1.929999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,4.25,4.625,-8.954,0.89,-7,-10,0.47,-4.96,5,2,0,0,1,0,0,0,0
2,1.216666,-1.099997,0,-3.932001,-1.099997,0,-3.932001,1.5,-0.04000002,1.989999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,4.25,4.625,-8.954,0.89,-7,-10,0.47,-4.96,5,2,0,0,1,0,0,0,0
2,1.233333,-1.099997,0,-3.832001,-1.099997,0,-3.832001,1.5,-0.04000002,2.049999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,4.25,4.625,-8.954,0.89,-7,-10,0.47,-4.96,5,2,0,0,1,0,0,0,0
2,1.25,-1.099997,0,-3.732001,-1.099997,0,-3.732001,1.5,-0.04000002,2.109999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,4.25,4.625,-8.954,0.89,-7,-10,0.47,-4.96,5,2,0,0,1,0,0,0,0
2,1.266666,-1.099997,0,-3.632001,-1.099997,0,-3.632001,1.5,-0.04000002,2.169999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,4.25,4.625,-8.954,0.89,-7,-10,0.47,-4.96,5,2,0,0,1,0,0,0,0
2,1.283333,-1.099997,0,-3.532001,-1.099997,0,-3.532001,1.5,-0.04000002,2.229999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,4.25,4.625,-8.954,0.89,-7,-10,0.47,-4.96,5,4,0,0,0,0,1,0,0
2,1.316666,-0.9999962,0,-3.532001,-0.9999962,0,-3.532001,1.5,-0.04000002,2.229999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,4.25,4.625,-8.954,0.89,-7,-10,0.47,-4.96,5,4,0,0,0,0,1,0,0
2,1.333333,-0.8999958,0,-3.532001,-0.8999958,0,-3.532001,1.5,-0.04000002,2.229999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,4.25,4.625,-8.954,0.89,-7,-10,0.47,-4.96,5,4,0,0,0,0,1,0,0
2,1.349999,-0.7999954,0,-3.532001,-0.7999954,0,-3.532001,1.5,-0.04000002,2.229999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,4.25,4.625,-8.954,0.89,-7,-10,0.47,-4.96,5,4,0,0,0,0,1,0,0
2,1.366666,-0.699995,0,-3.532001,-0.699995,0,-3.532001,1.5,-0.04000002,2.229999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,4.25,4.625,-8.954,0.89,-7,-10,0.47,-4.96,5,4,0,0,0,0,1,0,0
2,1.383333,-0.5999947,0,-3.532001,-0.5999947,0,-3.532001,1.5,-0.04000002,2.229999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,4.25,4.625,-8.954,0.89,-7,-10,0.47,-4.96,5,2,0,0,1,0,0,0,0
2,1.416666,-0.5999947,0,-3.432002,-0.5999947,0,-3.432002,1.5,-0.04000002,2.229999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,4.25,4.625,-8.954,0.89,-7,-10,0.47,-4.96,5,2,0,0,1,0,0,0,0
2,1.433333,-0.5999947,0,-3.332002,-0.5999947,0,-3.332002,1.5,-0.04000002,2.229999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,4.25,4.625,-8.954,0.89,-7,-10,0.47,-4.96,5,2,0,0,1,0,0,0,0
2,1.449999,-0.5999947,0,-3.232002,-0.5999947,0,-3.232002,1.5,-0.04000002,2.229999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,4.25,4.625,-8.954,0.89,-7,-10,0.47,-4.96,5,2,0,0,1,0,0,0,0
2,1.466666,-0.5999947,0,-3.132002,-0.5999947,0,-3.132002,1.5,-0.04000002,2.229999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,4.25,4.625,-8.954,0.89,-7,-10,0.47,-4.96,5,2,0,0,1,0,0,0,0
2,1.483333,-0.5999947,0,-3.032002,-0.5999947,0,-3.032002,1.5,-0.04000002,2.229999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,4.25,4.625,-8.954,0.89,-7,-10,0.47,-4.96,5,2,0,0,1,0,0,0,0
2,1.516666,-0.5999947,0,-2.932002,-0.5999947,0,-2.932002,1.5,-0.04000002,2.289999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,4.25,4.625,-8.954,0.89,-7,-10,0.47,-4.96,5,2,0,0,1,0,0,0,0
2,1.533333,-0.5999947,0,-2.832002,-0.5999947,0,-2.832002,1.5,-0.04000002,2.349999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,4.25,4.625,-8.954,0.89,-7,-10,0.47,-4.96,5,2,0,0,1,0,0,0,0
2,1.549999,-0.5999947,0,-2.732002,-0.5999947,0,-2.732002,1.5,-0.04000002,2.409999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,4.25,4.625,-8.954,0.89,-7,-10,0.47,-4.96,5,2,0,0,1,0,0,0,0
2,1.566666,-0.5999947,0,-2.632002,-0.5999947,0,-2.632002,1.5,-0.04000002,2.469999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,4.25,4.625,-8.954,0.89,-7,-10,0.47,-4.96,5,2,0,0,1,0,0,0,0
2,1.583333,-0.5999947,0,-2.532002,-0.5999947,0,-2.532002,1.5,-0.04000002,2.529999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,4.25,4.625,-8.954,0.89,-7,-10,0.47,-4.96,5,2,0,0,1,0,0,0,0
