Agentid,TimePassed,LaraPosition.x,LaraPosition.y,LaraPosition.z,MarkoPosition.x,MarkoPosition.y,MarkoPosition.z,HalloPosition.x,HalloPosition.y,HalloPosition.z,Food1Position.x,Food1Position.y,Food1Position.z,Food2Position.x,Food2Position.y,Food2Position.z,Food3Position.x,Food3Position.y,Food3Position.z,Food,Health,AttackParticlePosition.x,AttackParticlePosition.y,AttackParticlePosition.z,ParticleContainPosition.x,ParticleContainPosition.y,ParticleContainPosition.z,Speed,Action
1,1.383333,0.5000019,0,0.4999995,-0.5999947,0,-3.532001,1.5,-0.04000002,2.229999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,6.25,5.625,-5.333325,-0.6272725,3.043501,-9,0.47,-1.96,5,2
1,1.416666,0.5000019,0,0.5999994,-0.5999947,0,-3.432002,1.5,-0.04000002,2.229999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,6.25,5.625,-5.333325,-0.6272725,3.143501,-9,0.47,-1.96,5,2
1,1.433333,0.5000019,0,0.6999993,-0.5999947,0,-3.332002,1.5,-0.04000002,2.229999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,6.25,5.625,3.043503,-0.6272725,6.533325,-9,0.47,-1.96,5,2
1,1.449999,0.5000019,0,0.7999992,-0.5999947,0,-3.232002,1.5,-0.04000002,2.229999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,6.25,5.625,3.043503,-0.6272725,6.633326,-9,0.47,-1.96,5,2
1,1.466666,0.5000019,0,0.8999991,-0.5999947,0,-3.132002,1.5,-0.04000002,2.229999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,6.25,5.625,3.043503,-0.6272725,6.733326,-9,0.47,-1.96,5,2
1,1.583333,0.5000019,0,0.999999,-0.5999947,0,-2.532002,1.5,-0.04000002,2.529999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,6.25,5.625,3.043503,-0.6272725,6.833325,-9,0.47,-1.96,5,2
1,1.616666,0.5000019,0,1.099999,-0.5999947,0,-2.432003,1.5,-0.04000002,2.589999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,6.25,5.625,3.043503,-0.6272725,6.933325,-9,0.47,-1.96,5,2
1,1.633332,0.5000019,0,1.199999,-0.5999947,0,-2.332003,1.5,-0.04000002,2.649999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,6.25,5.625,3.043503,-0.6272725,7.033325,-9,0.47,-1.96,5,2
1,1.649999,0.5000019,0,1.299999,-0.5999947,0,-2.232003,1.5,-0.04000002,2.709999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,6.25,5.625,3.043503,-0.6272725,7.133326,-9,0.47,-1.96,5,2
1,1.666666,0.5000019,0,1.399999,-0.5999947,0,-2.132003,1.5,-0.04000002,2.769999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,6.25,5.625,3.043503,-0.6272725,7.233325,-9,0.47,-1.96,5,2
1,1.783332,0.5000019,0,1.499999,-0.5999947,0,-2.032003,1.5,-0.04000002,2.529999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,6.25,5.625,3.043503,-0.6272725,7.333324,-9,0.47,-1.96,5,2
1,1.816666,0.5000019,0,1.599998,-0.5999947,0,-2.032003,1.5,-0.04000002,2.529999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,6.25,5.625,3.043503,-0.6272725,7.433325,-9,0.47,-1.96,5,2
1,1.833332,0.5000019,0,1.699998,-0.5999947,0,-2.032003,1.5,-0.04000002,2.529999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,6.25,5.625,3.043503,-0.6272725,7.533325,-9,0.47,-1.96,5,2
1,1.849999,0.5000019,0,1.799998,-0.5999947,0,-2.032003,1.5,-0.04000002,2.529999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5.25,5.125,3.043503,-0.6272725,7.633325,-9,0.47,-1.96,5,2
1,1.866666,0.5000019,0,1.899998,-0.5999947,0,-2.032003,1.5,-0.04000002,2.529999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,4.25,4.625,3.043503,-0.6272725,7.733324,-9,0.47,-1.96,5,2
1,1.983332,0.5000019,0,1.999998,-0.5999947,0,-2.032003,1.5,-0.04000002,2.529999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,-1.75,1.625,3.043503,-0.6272725,7.833324,-9,0.47,-1.96,5,3
1,2.016665,0.5000019,0,1.899998,-0.5999947,0,-1.932003,1.5,-0.04000002,2.529999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,-1.25,1.875,3.043503,-0.6272725,7.733324,-9,0.47,-1.96,5,3
1,2.033332,0.5000019,0,1.799998,-0.5999947,0,-1.832003,1.5,-0.04000002,2.529999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,-0.75,2.125,-2.043499,-0.6272725,-4.033328,-9,0.47,-1.96,5,3
1,2.049999,0.5000019,0,1.699998,-0.5999947,0,-1.732003,1.5,-0.04000002,2.529999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,-0.25,2.375,-2.043499,-0.6272725,-4.133328,-9,0.47,-1.96,5,3
1,2.066665,0.5000019,0,1.599998,-0.5999947,0,-1.632003,1.5,-0.04000002,2.529999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,0.25,2.625,-2.043499,-0.6272725,-4.233328,-9,0.47,-1.96,5,3
1,2.183332,0.5000019,0,1.499999,-1.099997,0,-1.532003,1.5,-0.04000002,2.529999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,0.25,2.625,-2.043499,-0.6272725,-4.333328,-9,0.47,-1.96,5,1
1,2.216665,0.4000015,0,1.499999,-1.099997,0,-1.532003,1.5,-0.04000002,2.529999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,0.25,2.625,-2.1435,-0.6272725,-4.333328,-9,0.47,-1.96,5,1
1,2.233332,0.3000011,0,1.499999,-1.099997,0,-1.532003,1.5,-0.04000002,2.529999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,0.25,2.625,-5.533326,-0.6272725,4.0435,-9,0.47,-1.96,5,1
1,2.249999,0.2000008,0,1.499999,-1.099997,0,-1.532003,1.5,-0.04000002,2.529999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,0.25,2.625,-5.633327,-0.6272725,4.0435,-9,0.47,-1.96,5,1
1,2.266665,0.1000004,0,1.499999,-1.099997,0,-1.532003,1.5,-0.04000002,2.529999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,0.25,2.625,-5.733327,-0.6272725,4.0435,-9,0.47,-1.96,5,1
1,2.283332,0,0,1.499999,-1.099997,0,-1.532003,1.5,-0.04000002,2.529999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,0.25,2.625,-5.833327,-0.6272725,4.0435,-9,0.47,-1.96,5,2
1,2.316665,0,0,1.599998,-1.099997,0,-1.532003,1.5,-0.04000002,2.469999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,0.25,2.625,-5.833327,-0.6272725,4.1435,-9,0.47,-1.96,5,2
1,2.333332,0,0,1.699998,-1.099997,0,-1.532003,1.5,-0.04000002,2.409999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,0.25,2.625,2.543501,-0.6272725,7.533325,-9,0.47,-1.96,5,2
1,2.349998,0,0,1.799998,-1.099997,0,-1.532003,1.5,-0.04000002,2.349999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,0.25,2.625,2.543501,-0.6272725,7.633325,-9,0.47,-1.96,5,2
1,2.366665,0,0,1.899998,-1.099997,0,-1.532003,1.5,-0.04000002,2.289999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,0.25,2.625,2.543501,-0.6272725,7.733324,-9,0.47,-1.96,5,2
1,2.383332,0,0,1.999998,-1.099997,0,-1.532003,1.5,-0.04000002,2.229999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,0.25,2.625,2.543501,-0.6272725,7.833324,-9,0.47,-1.96,5,4
1,2.416665,0.1000004,0,1.999998,-1.099997,0,-1.532003,1.5,-0.04000002,2.229999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,0.25,2.625,2.643501,-0.6272725,7.833324,-9,0.47,-1.96,5,4
1,2.433332,0.2000008,0,1.999998,-1.099997,0,-1.532003,1.5,-0.04000002,2.229999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,-0.75,2.125,6.033327,-0.6272725,-0.543504,-9,0.47,-1.96,5,4
1,2.449998,0.3000011,0,1.999998,-1.099997,0,-1.532003,1.5,-0.04000002,2.229999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,-1.75,1.625,6.133327,-0.6272725,-0.543504,-9,0.47,-1.96,5,4
1,2.466665,0.4000015,0,1.999998,-1.099997,0,-1.532003,1.5,-0.04000002,2.229999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,-2.75,1.125,6.233328,-0.6272725,-0.543504,-9,0.47,-1.96,5,4
1,2.483332,0.5000019,0,1.999998,-1.099997,0,-1.532003,1.5,-0.04000002,2.229999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,-3.75,0.625,6.333328,-0.6272725,-0.543504,-9,0.47,-1.96,5,1
1,2.516665,0.4000015,0,1.999998,-1.099997,0,-1.532003,1.5,-0.04000002,2.229999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,-4.75,0.125,6.233328,-0.6272725,-0.543504,-9,0.47,-1.96,5,1
1,2.533332,0.3000011,0,1.999998,-1.099997,0,-1.532003,1.5,-0.04000002,2.229999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,-5.75,-0.375,-5.533326,-0.6272725,4.543499,-9,0.47,-1.96,5,1
1,2.549998,0.2000008,0,1.999998,-1.099997,0,-1.532003,1.5,-0.04000002,2.229999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,-6.75,-0.875,-5.633327,-0.6272725,4.543499,-9,0.47,-1.96,5,1
1,2.566665,0.1000004,0,1.999998,-1.099997,0,-1.532003,1.5,-0.04000002,2.229999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,-7.75,-1.375,-5.733327,-0.6272725,4.543499,-9,0.47,-1.96,5,1
1,2.583332,0,0,1.999998,-1.099997,0,-1.532003,1.5,-0.04000002,2.229999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,-8.75,-1.875,-5.833327,-0.6272725,4.543499,-9,0.47,-1.96,5,1
1,2.616665,-0.1000004,0,1.999998,-1.099997,0,-1.532003,1.5,-0.04000002,2.289999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,-8.75,-1.875,-5.933328,-0.6272725,4.543499,-9,0.47,-1.96,5,1
1,2.633332,-0.2000008,0,1.999998,-1.099997,0,-1.532003,1.5,-0.04000002,2.349999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,-8.75,-1.875,-6.033328,-0.6272725,4.543499,-9,0.47,-1.96,5,1
1,2.649998,-0.3000011,0,1.999998,-1.099997,0,-1.532003,1.5,-0.04000002,2.409999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,-8.75,-1.875,-6.133328,-0.6272725,4.543499,-9,0.47,-1.96,5,1
1,2.666665,-0.4000015,0,1.999998,-1.099997,0,-1.532003,1.5,-0.04000002,2.469999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,-8.75,-1.875,-6.233329,-0.6272725,4.543499,-9,0.47,-1.96,5,1
1,2.683331,-0.5000019,0,1.999998,-1.099997,0,-1.532003,1.5,-0.04000002,2.529999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,-8.75,-1.875,-6.333329,-0.6272725,4.543499,-9,0.47,-1.96,5,2
1,2.716665,-0.5000019,0,2.099998,-0.9999962,0,-1.532003,1.56,-0.04000002,2.529999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,-8.75,-1.875,-6.333329,-0.6272725,4.643499,-9,0.47,-1.96,5,2
1,2.733331,-0.5000019,0,2.199998,-0.8999958,0,-1.532003,1.62,-0.04000002,2.529999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,-8.75,-1.875,2.043499,-0.6272725,8.033324,-9,0.47,-1.96,5,2
1,2.749998,-0.5000019,0,2.299998,-0.7999954,0,-1.532003,1.68,-0.04000002,2.529999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,-8.75,-1.875,2.043499,-0.6272725,8.133324,-9,0.47,-1.96,5,2
1,2.766665,-0.5000019,0,2.399998,-0.699995,0,-1.532003,1.74,-0.04000002,2.529999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,-8.75,-1.875,2.043499,-0.6272725,8.233324,-9,0.47,-1.96,5,2
1,2.783331,-0.5000019,0,2.499998,-0.5999947,0,-1.532003,1.799999,-0.04000002,2.529999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,-8.75,-1.875,2.043499,-0.6272725,8.333324,-9,0.47,-1.96,5,4
1,2.816665,-0.4000015,0,2.499998,-0.5999947,0,-1.632003,1.799999,-0.04000002,2.529999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,-8.75,-1.875,2.143499,-0.6272725,8.333324,-9,0.47,-1.96,5,4
1,2.833331,-0.3000011,0,2.499998,-0.5999947,0,-1.732003,1.799999,-0.04000002,2.529999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,-8.75,-1.875,5.533325,-0.6272725,-0.04350448,-9,0.47,-1.96,5,4
